Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017
E02000001,City of London 001,929037,953512,961783,950760
E02000002,Barking and Dagenham 001,275289,291803,300302,296691
E02000003,Barking and Dagenham 002,310171,311167,323874,320546
E02000004,Barking and Dagenham 003,339569,330511,332531,333292
E02000005,Barking and Dagenham 004,324117,327888,325795,323039
E02000007,Barking and Dagenham 006,285170,281894,286960,295579
E02000008,Barking and Dagenham 007,278247,279976,285566,286441
E02000009,Barking and Dagenham 008,291478,289519,289998,285981
E02000010,Barking and Dagenham 009,282668,279680,286727,289337
E02000011,Barking and Dagenham 010,300592,301563,303182,308081
E02000012,Barking and Dagenham 011,422078,419833,415314,407529
E02000013,Barking and Dagenham 012,294431,306075,303247,305405
E02000014,Barking and Dagenham 013,294854,291913,288230,280545
E02000015,Barking and Dagenham 014,249223,268356,271662,262508
E02000016,Barking and Dagenham 015,222277,225299,227508,226536
E02000017,Barking and Dagenham 016,335145,328430,343519,348509
E02000018,Barking and Dagenham 017,321657,338139,327203,313259
E02000019,Barking and Dagenham 018,294148,292249,293959,291721
E02000020,Barking and Dagenham 019,283388,289955,291688,296002
E02000021,Barking and Dagenham 020,271463,276744,280052,280707
E02000022,Barking and Dagenham 021,227833,238400,231338,235028
E02000023,Barking and Dagenham 022,234655,247283,251872,263846
E02006799,Barking and Dagenham 023,295752,302336,299377,306067
E02000024,Barnet 001,579179,567568,585257,605879
E02000025,Barnet 002,481734,508522,486238,479642
E02000026,Barnet 003,561494,537196,557653,578903
E02000027,Barnet 004,502504,504801,477697,473710
E02000028,Barnet 005,516016,538998,541241,564232
E02000029,Barnet 006,470294,461393,479002,484909
E02000030,Barnet 007,1114569,1097321,1165714,1139461
E02000031,Barnet 008,688190,656446,671629,666267
E02000032,Barnet 009,696668,700429,675467,677451
E02000033,Barnet 010,469304,465500,466479,488188
E02000034,Barnet 011,533350,530039,525231,551143
E02000035,Barnet 012,648250,637291,646226,619466
E02000036,Barnet 013,488449,509932,538164,544596
E02000037,Barnet 014,471191,613485,608500,619571
E02000038,Barnet 015,540429,553181,544678,541677
E02000039,Barnet 016,956129,881181,983734,1072362
E02000040,Barnet 017,623272,623681,701413,728667
E02000041,Barnet 018,438317,509821,547769,541679
E02000042,Barnet 019,486898,490959,482435,505314
E02000043,Barnet 020,711096,708929,715653,751999
E02000044,Barnet 021,475852,478709,464079,489154
E02000045,Barnet 022,508071,504272,496574,465225
E02000046,Barnet 023,613644,642475,664660,695481
E02000047,Barnet 024,351286,351694,367326,374556
E02000048,Barnet 025,578567,603130,613017,697094
E02000049,Barnet 026,416471,390418,378437,385216
E02000050,Barnet 027,507956,514529,525040,530662
E02000051,Barnet 028,839771,794209,721825,691608
E02000052,Barnet 029,608458,626053,642603,655095
E02000053,Barnet 030,403901,419815,427490,440912
E02000054,Barnet 031,575882,593645,554756,613465
E02000055,Barnet 032,667288,689959,626323,628930
E02000056,Barnet 033,1641231,1991830,2114455,2210884
E02000057,Barnet 034,668558,727893,712564,737165
E02000058,Barnet 035,855117,874827,915369,890055
E02000059,Barnet 036,451084,431744,423861,415767
E02000060,Barnet 037,925488,916358,977373,960713
E02000061,Barnet 038,992411,1092183,1041507,1148588
E02000062,Barnet 039,512714,479831,472957,484193
E02000063,Barnet 040,497043,490984,492680,533989
E02000064,Barnet 041,688200,801280,820862,765528
E02000065,Bexley 001,246712,259674,257255,272256
E02000066,Bexley 002,282983,300107,291049,290268
E02000067,Bexley 003,255393,265176,272482,271313
E02000068,Bexley 004,256595,254001,246569,241744
E02000069,Bexley 005,270186,274498,273910,281406
E02000070,Bexley 006,355970,360073,372272,374759
E02000071,Bexley 007,322648,321197,322166,328389
E02000072,Bexley 008,260588,255136,255789,263569
E02000073,Bexley 009,392718,398706,409537,417375
E02000074,Bexley 010,264159,266209,273971,276457
E02000075,Bexley 011,421696,421662,422278,417047
E02000077,Bexley 013,361115,371154,372545,373782
E02000078,Bexley 014,327452,324258,335256,332921
E02000079,Bexley 015,344718,348768,359411,362609
E02000080,Bexley 016,335241,345640,366854,375831
E02000081,Bexley 017,338250,333374,332495,334175
E02000082,Bexley 018,391439,386391,388738,393395
E02000083,Bexley 019,286976,288612,302280,308461
E02000084,Bexley 020,422405,437016,450032,452117
E02000085,Bexley 021,343410,355656,364441,377365
E02000086,Bexley 022,387857,404618,403076,420926
E02000087,Bexley 023,470079,473494,486713,493468
E02000088,Bexley 024,414073,410795,420189,435846
E02000089,Bexley 025,442072,445389,466644,473603
E02000090,Bexley 026,363974,366863,363510,377481
E02000091,Bexley 027,387480,387892,354611,343505
E02000092,Bexley 028,319188,314297,314875,326594
E02006785,Bexley 029,353745,363870,345226,350016
E02000093,Brent 001,469852,473175,468416,479426
E02000094,Brent 002,341685,348418,359727,429212
E02000095,Brent 003,484119,473045,487021,486435
E02000096,Brent 004,583786,591526,630491,638474
E02000097,Brent 005,445803,447694,447256,465984
E02000098,Brent 006,514803,543564,561779,564497
E02000099,Brent 007,413518,405029,433262,449782
E02000100,Brent 008,634748,631468,680289,764053
E02000101,Brent 009,444720,462519,463733,480145
E02000102,Brent 010,333453,336169,367906,375026
E02000103,Brent 011,464903,477852,475907,434676
E02000104,Brent 012,452153,473853,472591,429814
E02000105,Brent 013,334238,324127,358618,352410
E02000106,Brent 014,397243,452862,506592,544457
E02000107,Brent 015,743912,723455,670089,682901
E02000108,Brent 016,358048,390024,394043,420833
E02000109,Brent 017,391846,428655,435844,449342
E02000110,Brent 018,734143,745920,788160,795662
E02000111,Brent 019,383100,399467,401618,419985
E02000112,Brent 020,377761,390126,401233,391458
E02000113,Brent 021,296857,309556,308900,319721
E02000114,Brent 022,580344,550977,529454,536973
E02000115,Brent 023,718362,686517,609375,669545
E02000116,Brent 024,431016,454856,440810,460355
E02000117,Brent 025,417325,418741,406308,403951
E02000118,Brent 026,382314,375479,371218,384748
E02000119,Brent 027,421300,443097,442333,439687
E02000120,Brent 028,720292,710022,680513,711733
E02000121,Brent 029,383305,366746,354882,364075
E02000122,Brent 030,1125080,1286373,1386075,1294546
E02000123,Brent 031,537915,541767,554212,554305
E02000124,Brent 032,898443,965867,1032068,1176348
E02000125,Brent 033,810637,869134,893238,902411
E02000126,Brent 034,624286,636977,638056,640842
E02000127,Bromley 001,380725,383608,378886,372541
E02000128,Bromley 002,479121,483606,499271,499374
E02000130,Bromley 004,540982,529624,524623,535944
E02000131,Bromley 005,398613,401886,404024,404974
E02000132,Bromley 006,430949,430153,457919,461244
E02000133,Bromley 007,697210,709693,729102,754109
E02000134,Bromley 008,417062,424802,416624,406115
E02000135,Bromley 009,333544,352957,375906,366964
E02000136,Bromley 010,514022,603108,620147,608673
E02000137,Bromley 011,466527,472616,487487,500389
E02000138,Bromley 012,522294,527359,529423,513839
E02000139,Bromley 013,492534,495155,491853,487963
E02000140,Bromley 014,336043,338871,330806,319740
E02000141,Bromley 015,402705,422072,411077,412536
E02000142,Bromley 016,510414,546815,580385,629090
E02000144,Bromley 018,437248,437265,455312,476106
E02000145,Bromley 019,274315,281456,291697,296866
E02000146,Bromley 020,403035,394010,411756,427214
E02000147,Bromley 021,698100,731555,752214,750944
E02000148,Bromley 022,660643,710218,701576,700532
E02000149,Bromley 023,371879,376891,364584,386105
E02000150,Bromley 024,564096,565460,576892,584400
E02000151,Bromley 025,602829,608472,618221,620219
E02000152,Bromley 026,410433,404557,424465,418441
E02000153,Bromley 027,579777,576242,577289,565661
E02000154,Bromley 028,403481,386679,403441,421566
E02000155,Bromley 029,380052,378467,370609,367217
E02000156,Bromley 030,503520,502982,506508,553275
E02000157,Bromley 031,535879,527225,540644,555401
E02000158,Bromley 032,458413,465334,466019,475633
E02000159,Bromley 033,846780,924466,886065,876194
E02000160,Bromley 034,635072,617348,590261,561542
E02000161,Bromley 035,459466,457321,461326,479121
E02000162,Bromley 036,443151,454701,446556,445784
E02000163,Bromley 037,568728,556936,591825,618879
E02000165,Bromley 039,357692,359168,378567,372818
E02006782,Bromley 040,538486,538406,506809,510426
E02006787,Bromley 041,488613,523716,551604,556306
E02006789,Bromley 042,509085,480377,483288,505776
E02000166,Camden 001,1096195,1303760,1360173,1297421
E02000167,Camden 002,1938983,2099554,2104867,1783799
E02000168,Camden 003,920396,910532,963864,1028588
E02000169,Camden 004,2020563,2147108,2336103,2469451
E02000170,Camden 005,880817,927312,875884,858016
E02000171,Camden 006,1036212,1106049,1119217,1006711
E02000172,Camden 007,639321,692601,710377,706419
E02000173,Camden 008,2102926,2141157,1984993,1866335
E02000174,Camden 009,636252,643061,673286,720145
E02000175,Camden 010,783817,812783,799425,751308
E02000176,Camden 011,1269109,1273163,1343815,1256117
E02000177,Camden 012,825501,915164,1012372,1066592
E02000178,Camden 013,648893,644331,645834,607480
E02000179,Camden 014,1094981,1125717,1150647,1143549
E02000180,Camden 015,683399,798172,852801,759817
E02000181,Camden 016,865135,898512,857107,909663
E02000182,Camden 017,1208962,1355421,1321578,1292376
E02000183,Camden 018,1655193,1741464,1718116,1751336
E02000184,Camden 019,680626,699547,675068,631269
E02000185,Camden 020,509493,620068,723860,687372
E02000186,Camden 021,957946,962888,1194755,1476799
E02000187,Camden 022,1128587,1113486,1111006,1048636
E02000188,Camden 023,601639,644105,582250,562844
E02000189,Camden 024,583400,707223,833462,1039230
E02000190,Camden 025,627729,686690,676908,668828
E02000191,Camden 026,1030734,1097107,1093891,1093178
E02000192,Camden 027,1065335,901443,926926,909400
E02000193,Camden 028,724669,781898,930502,1069169
E02000194,Croydon 001,443119,433652,484175,476318
E02000195,Croydon 002,520445,524309,504740,498924
E02000196,Croydon 003,425264,432934,451629,441834
E02000197,Croydon 004,446642,424171,414638,399568
E02000198,Croydon 005,313148,318003,320140,326098
E02000199,Croydon 006,337671,350163,360571,372269
E02000200,Croydon 007,343750,340363,342519,345775
