Code,Area,Year ending Mar 2017,Year ending Jun 2017,Year ending Sep 2017,Year ending Dec 2017,count,avg2017
E01000001,City of London 001A,1130200,1122411,1164048,1204928,4,1155396.75
E01000002,City of London 001B,935484,1037742,994818,991549,4,989898.25
E01000003,City of London 001C,765501,888184,890807,913007,4,864374.75
E01000005,City of London 001E,615000,593333,,,2,604166.5
E01032739,City of London 001F,903033,714219,732375,713365,4,765748
E01032740,City of London 001G,1036792,1115750,1074834,949603,4,1044244.75
E01000006,Barking and Dagenham 016A,379194,362676,346143,354300,4,360578.25
E01000007,Barking and Dagenham 015A,226786,229133,241698,230380,4,231999.25
E01000008,Barking and Dagenham 015B,180132,189915,207053,214617,4,197929.25
E01000009,Barking and Dagenham 016B,260625,279064,301078,310100,4,287716.75
E01000010,Barking and Dagenham 015C,226081,228359,225253,228213,4,226976.5
E01000011,Barking and Dagenham 016C,305750,328188,353327,371056,4,339580.25
E01000012,Barking and Dagenham 015D,235075,231938,228500,224656,4,230042.25
E01000013,Barking and Dagenham 013A,290868,288467,303692,299462,4,295622.25
E01000014,Barking and Dagenham 013B,312079,313385,293682,272750,4,297974
E01000015,Barking and Dagenham 009A,238766,229057,244926,252414,4,241290.75
E01000016,Barking and Dagenham 009B,297188,298156,298393,300538,4,298568.75
E01000017,Barking and Dagenham 009C,293889,295875,288200,290441,4,292101.25
E01000018,Barking and Dagenham 009D,287259,298583,319750,319923,4,306378.75
E01000019,Barking and Dagenham 023A,306250,305786,297125,314364,4,305881.25
E01000020,Barking and Dagenham 023B,307760,308792,296333,315031,4,306979
E01000021,Barking and Dagenham 008A,283706,293038,292433,289324,4,289625.25
E01000022,Barking and Dagenham 008B,337625,329100,307385,305077,4,319796.75
E01000023,Barking and Dagenham 008C,276478,265282,265773,268419,4,268988
E01000024,Barking and Dagenham 008D,315000,313227,314625,316591,4,314860.75
E01000025,Barking and Dagenham 008E,302142,290977,296011,288444,4,294393.5
E01000027,Barking and Dagenham 001A,286300,286219,275400,279821,4,281935
E01000028,Barking and Dagenham 001B,282200,290111,297595,276106,3,382004
E01000029,Barking and Dagenham 001C,266354,295236,312774,305985,4,295087.25
E01000030,Barking and Dagenham 001D,273077,295050,303100,,4,217806.75
E01000031,Barking and Dagenham 002A,313739,336823,358159,390937,4,349914.5
E01000032,Barking and Dagenham 002B,246900,264572,307927,276185,4,273896
E01000033,Barking and Dagenham 006A,315450,329588,325571,325500,4,324027.25
E01000034,Barking and Dagenham 003A,355500,337600,324400,314000,4,332875
E01000035,Barking and Dagenham 010A,312868,293239,291978,293474,4,297889.75
E01000036,Barking and Dagenham 010B,299385,301385,321083,331500,4,313338.25
E01000037,Barking and Dagenham 003B,360104,339614,347722,360000,4,351860
E01000038,Barking and Dagenham 003C,345273,358300,365324,345375,4,353568
E01000039,Barking and Dagenham 003D,308407,301767,311114,316621,4,309477.25
E01000040,Barking and Dagenham 019A,282583,285675,275840,271725,4,278955.75
E01000041,Barking and Dagenham 017A,277318,304923,315692,318318,4,304062.75
E01000042,Barking and Dagenham 017B,396795,423478,410570,390750,4,405398.25
E01000043,Barking and Dagenham 019B,279246,278095,325125,367455,4,312480.25
E01000044,Barking and Dagenham 016D,290817,284333,307944,293614,4,294177
E01000045,Barking and Dagenham 017C,275667,333107,334233,325552,0,#DIV/0!
E01000046,Barking and Dagenham 017D,301658,308433,298478,286407,4,298744
E01000048,Barking and Dagenham 021B,,,,,4,0
E01000049,Barking and Dagenham 021C,265583,302167,309600,288143,0,#DIV/0!
E01000050,Barking and Dagenham 019C,286919,275208,284467,282315,4,282227.25
E01000051,Barking and Dagenham 021D,,,,,4,0
E01000052,Barking and Dagenham 019D,298550,311501,310168,309305,4,307381
E01000053,Barking and Dagenham 020A,246010,243545,238708,237722,4,241496.25
E01000054,Barking and Dagenham 018A,296675,295278,290237,282944,3,388378
E01000055,Barking and Dagenham 018B,293619,289347,282909,293292,4,289791.75
E01000056,Barking and Dagenham 018C,301499,,327400,301625,4,232631
E01000057,Barking and Dagenham 012A,255725,293875,278080,287664,4,278836
E01000058,Barking and Dagenham 018D,296947,291500,296340,295357,4,295036
E01000059,Barking and Dagenham 013C,310885,298882,287750,289964,2,593740.5
E01000060,Barking and Dagenham 006B,285538,267813,280794,289229,4,280843.5
E01000061,Barking and Dagenham 006C,,,212167,212167,4,106083.5
E01000062,Barking and Dagenham 006D,297614,298478,317102,322635,4,308957.25
E01000063,Barking and Dagenham 004A,290932,299810,300306,299275,4,297580.75
E01000064,Barking and Dagenham 006E,268000,264029,277029,296029,4,276271.75
E01000065,Barking and Dagenham 007A,279525,283447,287344,289167,4,284870.75
E01000066,Barking and Dagenham 011A,337714,318632,282929,305857,4,311283
